image_id,gt_count,old_r011_n_pred,m069_n_pred,r014_identity_n_pred,r014_hflip_n_pred,r014_vflip_n_pred
16019__1024__0___0,1,12,12,12,10,10
16020__1024__0___0,8,89,89,89,86,87
16022__1024__0___0,2,55,55,55,44,52
16026__1024__0___0,31,235,235,235,231,220
16032__1024__0___0,33,275,275,275,251,264
16033__1024__0___0,2,14,14,14,14,16
16034__1024__0___0,1,7,7,7,6,7
16036__1024__0___0,3,29,29,29,28,25
16041__1024__0___0,4,63,63,63,71,77
16043__1024__0___0,1,8,8,8,8,8
16045__1024__0___0,5,138,138,138,155,146
16046__1024__0___0,6,85,85,85,81,82
16051__1024__0___0,36,241,241,241,238,256
16070__1024__0___0,9,143,143,143,131,122
16080__1024__0___0,7,65,65,65,69,60
16087__1024__0___0,6,87,87,87,90,90
16095__1024__0___0,10,66,66,66,69,66
16100__1024__0___0,1,27,27,27,30,26
16102__1024__0___0,6,104,104,104,97,115
16108__1024__0___0,30,306,306,306,290,276
16114__1024__0___0,4,47,47,47,51,50
1611__1024__0___0,210,599,599,599,628,591
16122__1024__0___0,2,33,33,33,33,33
1612__1024__0___0,121,383,383,383,384,356
16131__1024__0___0,1,9,9,9,8,8
16139__1024__0___0,18,235,235,235,238,256
1613__1024__0___0,164,480,480,480,456,467
16146__1024__0___0,45,234,234,234,240,216
16161__1024__0___0,2,28,28,28,21,24
16168__1024__0___0,4,45,45,45,34,35
16169__1024__0___0,19,255,255,255,284,275
1616__1024__0___0,63,269,269,269,254,267
16174__1024__0___0,25,273,273,273,240,239
16176__1024__0___0,22,287,287,287,287,273
16178__1024__0___0,4,268,268,268,288,299
16195__1024__0___0,31,227,227,227,229,252
16200__1024__0___0,17,195,195,195,206,218
16202__1024__0___0,11,97,97,97,101,119
16204__1024__0___0,2,26,26,26,27,24
16206__1024__0___0,2,28,28,28,31,28
16213__1024__0___0,1,5,5,5,7,8
16214__1024__0___0,250,648,648,648,646,644
16222__1024__0___0,1,21,21,21,16,22
16228__1024__0___0,98,376,376,376,372,369
16231__1024__0___0,1,7,7,7,5,3
16235__1024__0___0,5,36,36,36,39,47
16240__1024__0___0,1,5,5,5,3,3
16244__1024__0___0,9,80,80,80,92,87
16247__1024__0___0,20,162,162,162,188,198
16250__1024__0___0,2,39,39,39,36,38
16273__1024__0___0,4,50,50,50,41,40
16274__1024__0___0,16,174,174,174,170,184
16277__1024__0___0,4,26,26,26,13,20
1627__1024__0___0,2,34,34,34,33,32
16281__1024__0___0,3,18,18,18,14,20
16282__1024__0___0,53,301,301,301,296,289
1629__1024__0___0,1,9,9,9,6,8
1629__1024__0___476,3,26,26,26,25,28
1629__1024__476___0,4,34,34,34,35,36
1629__1024__476___476,4,29,29,29,32,31
16301__1024__0___0,63,406,406,406,407,410
16321__1024__0___0,3,47,47,47,44,45
16324__1024__0___0,1,43,43,43,35,38
16327__1024__0___0,3,28,28,28,25,23
16332__1024__0___0,1,21,21,21,9,11
16333__1024__0___0,36,300,300,300,310,284
16336__1024__0___0,353,699,699,699,693,697
16338__1024__0___0,3,10,10,10,10,12
16343__1024__0___0,5,67,67,67,66,57
16346__1024__0___0,5,50,50,50,46,45
16348__1024__0___0,1,20,20,20,20,21
16352__1024__0___0,21,296,296,296,273,283
16355__1024__0___0,10,203,203,203,208,191
16366__1024__0___0,29,231,231,231,211,214
16396__1024__0___0,3,28,28,28,23,31
16398__1024__0___0,28,228,228,228,224,232
163__1024__0___0,6,77,77,77,81,71
16400__1024__0___0,1,13,13,13,23,18
16401__1024__0___0,54,282,282,282,278,293
16406__1024__0___0,4,34,34,34,37,32
16407__1024__0___0,6,31,31,31,28,24
1640__1024__0___0,0,MISSING,11,11,7,9
1640__1024__0___476,3,38,38,38,33,35
1640__1024__476___0,0,MISSING,10,10,11,13
1640__1024__476___476,3,27,27,27,30,31
16410__1024__0___0,8,88,88,88,85,107
16414__1024__0___0,12,331,331,331,298,279
16419__1024__0___0,37,355,355,355,364,335
16420__1024__0___0,6,67,67,67,69,65
16428__1024__0___0,33,250,250,250,246,275
16442__1024__0___0,1,6,6,6,4,4
16446__1024__0___0,8,77,77,77,72,64
16448__1024__0___0,10,78,78,78,85,78
16452__1024__0___0,24,234,234,234,227,242
16464__1024__0___0,3,38,38,38,40,38
16471__1024__0___0,5,64,64,64,65,56
16477__1024__0___0,3,34,34,34,27,29
16480__1024__0___0,5,41,41,41,42,37
16481__1024__0___0,5,70,70,70,71,66
16484__1024__0___0,49,291,291,291,279,304
1650__1024__0___0,196,466,466,466,457,483
1656__1024__0___0,29,315,315,315,305,322
1662__1024__0___0,26,266,266,266,258,271
1663__1024__0___0,0,MISSING,55,55,53,49
1663__1024__0___476,5,100,100,100,100,115
1663__1024__476___0,2,71,71,71,117,93
1663__1024__476___476,21,327,327,327,329,310
1674__1024__0___0,10,80,80,80,81,78
1682__1024__0___0,2,12,12,12,16,9
1682__1024__0___476,0,MISSING,11,11,11,10
1682__1024__476___0,0,MISSING,7,7,3,2
1682__1024__476___476,0,MISSING,0,0,0,0
1688__1024__0___0,0,MISSING,7,7,3,6
1688__1024__0___476,0,MISSING,6,6,6,7
1688__1024__476___0,2,6,6,6,11,7
1688__1024__476___476,5,26,26,26,26,21
1693__1024__0___0,53,267,267,267,270,284
1695__1024__0___0,99,378,378,378,368,374
1698__1024__0___0,95,393,393,393,396,408
169__1024__0___0,53,334,334,334,325,349
1703__1024__0___0,103,283,283,283,307,307
1704__1024__0___0,4,38,38,38,38,30
1704__1024__0___476,4,37,37,37,37,30
1704__1024__476___0,1,11,11,11,10,10
1704__1024__476___476,0,MISSING,0,0,1,2
1705__1024__0___0,2,19,19,19,18,18
1705__1024__0___476,3,19,19,19,25,21
1705__1024__476___0,2,14,14,14,11,20
1705__1024__476___476,1,11,11,11,12,12
1712__1024__0___0,9,85,85,85,74,74
1712__1024__0___476,3,38,38,38,37,43
1712__1024__476___0,3,26,26,26,19,28
1712__1024__476___476,1,22,22,22,18,32
1714__1024__0___0,177,488,488,488,499,483
1717__1024__0___0,8,109,109,109,117,128
1719__1024__0___0,24,145,145,145,153,149
1719__1024__0___476,15,109,109,109,106,107
1719__1024__476___0,15,156,156,156,150,151
1719__1024__476___476,2,42,42,42,43,38
1726__1024__0___0,159,421,421,421,443,423
1737__1024__0___0,42,279,279,279,283,277
1750__1024__0___0,48,314,314,314,298,292
1751__1024__0___0,80,370,370,370,370,367
1753__1024__0___0,32,265,265,265,269,267
1756__1024__0___0,1,17,17,17,18,18
1763__1024__0___0,10,192,192,192,197,220
1764__1024__0___0,16,281,281,281,280,289
1767__1024__0___0,24,310,310,310,312,318
1794__1024__0___0,1,22,22,22,21,17
1797__1024__0___0,20,213,213,213,217,258
17__1024__0___0,1,17,17,17,17,19
17__1024__0___476,2,25,25,25,23,31
17__1024__476___0,0,MISSING,9,9,11,9
17__1024__476___476,2,24,24,24,24,27
1803__1024__0___0,14,115,115,115,120,118
1804__1024__0___0,3,34,34,34,29,27
1805__1024__0___0,4,34,34,34,39,39
1805__1024__0___824,0,MISSING,14,14,13,16
1805__1024__0___976,0,MISSING,12,12,11,11
1805__1024__824___0,4,18,18,18,23,20
1805__1024__824___824,4,31,31,31,33,34
1805__1024__824___976,4,28,28,28,31,28
1805__1024__976___0,1,9,9,9,9,5
1805__1024__976___824,4,32,32,32,31,35
1805__1024__976___976,4,28,28,28,27,28
1812__1024__0___0,6,63,63,63,59,64
1813__1024__0___0,4,42,42,42,40,36
1819__1024__0___0,4,34,34,34,26,26
1829__1024__0___0,9,151,151,151,144,148
1831__1024__0___0,3,54,54,54,54,54
1837__1024__0___0,6,82,82,82,73,61
1840__1024__0___0,0,MISSING,0,0,0,0
1840__1024__0___824,1,5,5,5,7,6
1840__1024__0___976,1,5,5,5,6,8
1840__1024__824___0,4,30,30,30,25,31
1840__1024__824___824,5,44,44,44,35,44
1840__1024__824___976,2,29,29,29,21,25
1840__1024__976___0,4,33,33,33,30,32
1840__1024__976___824,6,47,47,47,35,44
1840__1024__976___976,3,27,27,27,23,28
1845__1024__0___0,73,326,326,326,331,347
1847__1024__0___0,3,28,28,28,25,28
1848__1024__0___0,9,114,114,114,117,110
1863__1024__0___0,208,465,465,465,586,591
1865__1024__0___0,1,14,14,14,11,18
1871__1024__0___0,6,53,53,53,50,48
1874__1024__0___0,1,16,16,16,11,19
1876__1024__0___0,45,324,324,324,344,341
1881__1024__0___0,1,7,7,7,11,17
1883__1024__0___0,78,336,336,336,362,347
1884__1024__0___0,5,48,48,48,40,40
1885__1024__0___0,11,91,91,91,95,91
1891__1024__0___0,11,109,109,109,106,111
1893__1024__0___0,52,306,306,306,306,302
1897__1024__0___0,6,82,82,82,86,76
1900__1024__0___0,109,394,394,394,389,422
1903__1024__0___0,4,36,36,36,33,39
1906__1024__0___0,11,145,145,145,122,145
1913__1024__0___0,6,75,75,75,72,76
191__1024__0___0,2,12,12,12,22,19
191__1024__0___476,2,14,14,14,22,27
191__1024__476___0,2,7,7,7,15,11
191__1024__476___476,2,11,11,11,14,15
1927__1024__0___0,9,213,213,213,205,235
1934__1024__0___0,3,29,29,29,27,23
1937__1024__0___0,101,363,363,363,364,352
1940__1024__0___0,10,57,57,57,59,53
1951__1024__0___0,6,63,63,63,61,66
1956__1024__0___0,3,47,47,47,42,48
1962__1024__0___0,4,74,74,74,72,72
1973__1024__0___0,1,4,4,4,4,5
1977__1024__0___0,2,26,26,26,19,33
1978__1024__0___0,13,101,101,101,107,95
1982__1024__0___0,3,37,37,37,46,42
1986__1024__0___0,21,220,220,220,247,238
1992__1024__0___0,29,243,243,243,252,251
1993__1024__0___0,43,231,231,231,216,229
1995__1024__0___0,17,100,100,100,109,106
2008__1024__0___0,4,45,45,45,35,40
2010__1024__0___0,1,19,19,19,25,26
2023__1024__0___0,31,304,304,304,295,299
2025__1024__0___0,1,6,6,6,3,3
2026__1024__0___0,5,53,53,53,64,61
2027__1024__0___0,34,253,253,253,245,238
2031__1024__0___0,6,53,53,53,50,42
2032__1024__0___0,5,40,40,40,42,43
2034__1024__0___0,5,65,65,65,63,69
2043__1024__0___0,63,374,374,374,352,350
2046__1024__0___0,7,120,120,120,93,83
2048__1024__0___0,8,142,142,142,149,145
2050__1024__0___0,5,66,66,66,70,70
2052__1024__0___0,31,246,246,246,260,259
2055__1024__0___0,8,82,82,82,83,78
2059__1024__0___0,25,318,318,318,294,316
2061__1024__0___0,2,23,23,23,19,15
2066__1024__0___0,1,27,27,27,28,20
2071__1024__0___0,9,131,131,131,130,122
2087__1024__0___0,46,269,269,269,249,255
208__1024__0___0,134,417,417,417,398,428
2095__1024__0___0,1,18,18,18,17,15
2098__1024__0___0,35,231,231,231,228,231
2100__1024__0___0,6,146,146,146,156,168
2104__1024__0___0,52,275,275,275,270,274
2110__1024__0___0,4,43,43,43,45,55
2114__1024__0___0,83,391,391,391,389,394
211__1024__0___0,104,377,377,377,364,361
2126__1024__0___0,59,349,349,349,364,356
2133__1024__0___0,1,7,7,7,3,4
2137__1024__0___0,1,3,3,3,2,2
213__1024__0___0,36,274,274,274,270,287
2150__1024__0___0,17,139,139,139,140,122
2153__1024__0___0,12,73,73,73,80,74
2154__1024__0___0,7,38,38,38,38,39
2160__1024__0___0,107,351,351,351,339,365
2161__1024__0___0,30,289,289,289,284,288
2162__1024__0___0,7,166,166,166,131,117
2169__1024__0___0,10,43,43,43,40,36
2174__1024__0___0,88,362,362,362,351,348
2175__1024__0___0,4,45,45,45,52,46
2176__1024__0___0,75,355,355,355,359,362
2178__1024__0___0,29,221,221,221,238,221
2181__1024__0___0,2,20,20,20,15,16
2182__1024__0___0,21,236,236,236,244,239
2183__1024__0___0,6,59,59,59,68,56
2191__1024__0___0,18,94,94,94,92,107
2193__1024__0___0,5,33,33,33,36,38
2194__1024__0___0,2,17,17,17,19,16
2195__1024__0___0,2,25,25,25,25,30
2209__1024__0___0,28,212,212,212,230,210
2212__1024__0___0,19,299,299,299,304,324
2214__1024__0___0,57,285,285,285,280,270
2220__1024__0___0,1,8,8,8,8,7
2229__1024__0___0,50,297,297,297,294,299
222__1024__0___0,3,23,23,23,21,19
222__1024__0___1648,0,MISSING,6,6,4,5
222__1024__0___1976,0,MISSING,4,4,9,8
222__1024__0___824,3,24,24,24,17,19
222__1024__1648___0,10,71,71,71,71,72
222__1024__1648___1648,4,49,49,49,46,45
222__1024__1648___1976,4,47,47,47,42,46
222__1024__1648___824,6,57,57,57,54,62
222__1024__1976___0,7,49,49,49,52,51
222__1024__1976___1648,1,15,15,15,15,12
222__1024__1976___1976,1,13,13,13,13,16
222__1024__1976___824,7,66,66,66,56,60
222__1024__824___0,4,66,66,66,62,74
222__1024__824___1648,7,77,77,77,68,66
222__1024__824___1976,7,59,59,59,62,63
222__1024__824___824,1,13,13,13,16,11
2238__1024__0___0,5,63,63,63,50,55
2243__1024__0___0,4,44,44,44,47,54
2248__1024__0___0,3,54,54,54,55,54
2254__1024__0___0,19,199,199,199,207,205
2256__1024__0___0,6,77,77,77,72,67
2258__1024__0___0,2,35,35,35,34,33
2267__1024__0___0,2,47,47,47,45,46
2271__1024__0___0,2,6,6,6,7,5
2276__1024__0___0,1,12,12,12,16,11
2277__1024__0___0,3,37,37,37,37,35
2280__1024__0___0,36,269,269,269,250,240
2284__1024__0___0,75,386,386,386,406,390
2287__1024__0___0,8,67,67,67,75,68
2288__1024__0___0,12,175,175,175,185,181
2295__1024__0___0,6,100,100,100,103,107
2302__1024__0___0,7,68,68,68,70,73
2304__1024__0___0,115,403,403,403,409,422
2314__1024__0___0,4,45,45,45,43,44
2316__1024__0___0,5,68,68,68,70,65
2328__1024__0___0,1,3,3,3,6,4
2344__1024__0___0,4,52,52,52,57,50
2347__1024__0___0,2,38,38,38,42,35
2358__1024__0___0,8,72,72,72,80,69
2359__1024__0___0,3,36,36,36,37,37
2361__1024__0___0,3,54,54,54,53,54
2362__1024__0___0,1,2,2,2,2,2
2376__1024__0___0,2,38,38,38,25,23
2384__1024__0___0,7,295,295,295,333,333
2388__1024__0___0,15,207,207,207,213,201
238__1024__0___0,221,538,538,538,539,546
2392__1024__0___0,5,78,78,78,75,80
2397__1024__0___0,8,76,76,76,65,67
2403__1024__0___0,13,148,148,148,159,166
2409__1024__0___0,40,269,269,269,277,281
2415__1024__0___0,6,92,92,92,94,99
2417__1024__0___0,11,88,88,88,91,82
2421__1024__0___0,9,111,111,111,124,114
2427__1024__0___0,13,98,98,98,79,85
2431__1024__0___0,3,39,39,39,38,37
2433__1024__0___0,6,47,47,47,41,47
2436__1024__0___0,1,13,13,13,12,14
243__1024__0___0,5,36,36,36,36,37
243__1024__0___476,0,MISSING,0,0,0,0
243__1024__476___0,5,37,37,37,37,38
243__1024__476___476,0,MISSING,12,12,7,9
2443__1024__0___0,29,192,192,192,195,187
2448__1024__0___0,22,196,196,196,182,179
2449__1024__0___0,1,31,31,31,23,22
2457__1024__0___0,47,223,223,223,222,223
2458__1024__0___0,47,232,232,232,226,216
2472__1024__0___0,3,19,19,19,25,25
2489__1024__0___0,4,68,68,68,65,61
2498__1024__0___0,8,139,139,139,138,125
2502__1024__0___0,7,74,74,74,70,71
2503__1024__0___0,21,219,219,219,225,223
2505__1024__0___0,29,251,251,251,266,252
2509__1024__0___0,14,94,94,94,104,101
250__1024__0___0,0,MISSING,16,16,11,12
250__1024__0___476,10,70,70,70,95,98
250__1024__476___0,2,24,24,24,27,28
250__1024__476___476,7,45,45,45,57,51
2511__1024__0___0,8,77,77,77,71,69
2512__1024__0___0,4,59,59,59,64,58
2516__1024__0___0,11,86,86,86,89,90
2520__1024__0___0,15,134,134,134,135,131
2524__1024__0___0,3,36,36,36,27,34
2525__1024__0___0,10,85,85,85,75,80
2530__1024__0___0,21,256,256,256,254,260
2534__1024__0___0,4,48,48,48,40,45
2538__1024__0___0,4,83,83,83,101,113
2541__1024__0___0,216,602,602,602,601,588
2543__1024__0___0,1,5,5,5,7,6
2544__1024__0___0,9,130,130,130,139,157
2558__1024__0___0,5,32,32,32,42,44
255__1024__0___0,6,58,58,58,55,52
2563__1024__0___0,1,18,18,18,14,19
2570__1024__0___0,21,187,187,187,212,194
2580__1024__0___0,2,17,17,17,17,16
2582__1024__0___0,13,80,80,80,85,75
2587__1024__0___0,136,493,493,493,506,487
2593__1024__0___0,27,239,239,239,241,233
259__1024__0___0,12,106,106,106,113,98
2607__1024__0___0,191,544,544,544,525,534
260__1024__0___0,0,MISSING,3,3,3,1
260__1024__0___476,2,6,6,6,10,10
260__1024__476___0,1,9,9,9,5,9
260__1024__476___476,3,11,11,11,13,10
2611__1024__0___0,34,233,233,233,252,253
2618__1024__0___0,6,135,135,135,141,149
2627__1024__0___0,12,166,166,166,169,176
2629__1024__0___0,20,40,40,40,39,34
2636__1024__0___0,62,288,288,288,277,276
2637__1024__0___0,4,51,51,51,59,61
264__1024__0___0,31,346,346,346,292,334
2661__1024__0___0,7,64,64,64,62,66
2663__1024__0___0,9,62,62,62,63,59
2669__1024__0___0,2,57,57,57,44,48
2673__1024__0___0,7,52,52,52,54,50
267__1024__0___0,14,73,73,73,66,66
267__1024__0___476,12,94,94,94,90,91
267__1024__476___0,4,38,38,38,34,34
267__1024__476___476,2,25,25,25,26,22
2684__1024__0___0,7,69,69,69,73,92
2693__1024__0___0,62,243,243,243,253,247
2698__1024__0___0,46,347,347,347,373,354
26__1024__0___0,109,437,437,437,456,442
2709__1024__0___0,5,96,96,96,151,142
2712__1024__0___0,6,70,70,70,78,74
2714__1024__0___0,44,364,364,364,358,355
2716__1024__0___0,1,3,3,3,3,3
2718__1024__0___0,1,28,28,28,14,15
2727__1024__0___0,7,65,65,65,77,68
2729__1024__0___0,10,160,160,160,175,160
2733__1024__0___0,12,127,127,127,158,150
2736__1024__0___0,1,9,9,9,7,10
273__1024__0___0,11,99,99,99,91,105
2740__1024__0___0,1,13,13,13,15,13
2742__1024__0___0,12,152,152,152,147,148
2744__1024__0___0,10,72,72,72,59,67
2746__1024__0___0,2,34,34,34,29,33
2748__1024__0___0,2,32,32,32,30,29
2760__1024__0___0,31,318,318,318,316,294
2764__1024__0___0,1,20,20,20,22,20
2774__1024__0___0,31,235,235,235,238,223
2775__1024__0___0,1,10,10,10,12,10
2777__1024__0___0,42,234,234,234,211,215
2787__1024__0___0,4,49,49,49,53,53
2789__1024__0___0,31,334,334,334,354,350
2790__1024__0___0,78,345,345,345,349,346
2793__1024__0___0,86,336,336,336,323,330
2795__1024__0___0,34,226,226,226,216,215
2806__1024__0___0,5,35,35,35,37,41
2808__1024__0___0,736,756,756,756,755,731
2809__1024__0___0,87,353,353,353,346,361
2816__1024__0___0,38,246,246,246,247,233
2819__1024__0___0,1,18,18,18,23,20
2820__1024__0___0,20,256,256,256,249,259
2831__1024__0___0,6,46,46,46,46,39
2851__1024__0___0,7,72,72,72,70,70
2860__1024__0___0,1,81,81,81,91,101
2869__1024__0___0,24,191,191,191,204,202
286__1024__0___0,38,296,296,296,298,282
2874__1024__0___0,8,92,92,92,87,76
2876__1024__0___0,17,145,145,145,151,171
2879__1024__0___0,3,53,53,53,53,47
287__1024__0___0,15,319,319,319,353,326
2882__1024__0___0,30,295,295,295,288,296
2885__1024__0___0,3,33,33,33,36,32
2897__1024__0___0,76,308,308,308,304,321
2898__1024__0___0,32,300,300,300,296,296
289__1024__0___0,143,415,415,415,413,425
2903__1024__0___0,25,259,259,259,256,262
2912__1024__0___0,19,221,221,221,238,196
2917__1024__0___0,1,38,38,38,30,32
2922__1024__0___0,2,37,37,37,31,34
2925__1024__0___0,29,241,241,241,254,249
2926__1024__0___0,18,160,160,160,149,144
2930__1024__0___0,21,179,179,179,197,177
2935__1024__0___0,1,14,14,14,11,13
2947__1024__0___0,10,81,81,81,77,77
2954__1024__0___0,3,94,94,94,79,79
2956__1024__0___0,2,45,45,45,34,35
2959__1024__0___0,1,18,18,18,13,13
2967__1024__0___0,2,38,38,38,36,38
2973__1024__0___0,2,28,28,28,32,31
2976__1024__0___0,10,105,105,105,103,92
2979__1024__0___0,1,22,22,22,23,18
297__1024__0___0,43,302,302,302,324,323
2986__1024__0___0,4,68,68,68,67,60
2991__1024__0___0,2,43,43,43,32,39
2997__1024__0___0,18,225,225,225,229,241
2999__1024__0___0,2,7,7,7,1,2
3010__1024__0___0,90,359,359,359,378,363
3011__1024__0___0,4,34,34,34,35,38
3012__1024__0___0,3,350,350,350,302,359
3015__1024__0___0,9,102,102,102,102,94
3021__1024__0___0,3,28,28,28,21,37
3023__1024__0___0,7,143,143,143,154,140
3026__1024__0___0,22,208,208,208,201,187
3029__1024__0___0,10,60,60,60,68,61
3034__1024__0___0,60,311,311,311,308,310
3037__1024__0___0,175,582,582,582,600,599
3044__1024__0___0,2,50,50,50,49,45
3062__1024__0___0,11,202,202,202,181,203
3066__1024__0___0,13,152,152,152,165,157
3076__1024__0___0,12,193,193,193,209,228
3077__1024__0___0,1,37,37,37,29,30
3078__1024__0___0,4,59,59,59,53,52
3079__1024__0___0,10,134,134,134,129,118
307__1024__0___0,24,190,190,190,208,193
3083__1024__0___0,43,271,271,271,257,256
3090__1024__0___0,3,26,26,26,20,20
3096__1024__0___0,14,156,156,156,131,147
3099__1024__0___0,1,9,9,9,10,10
3117__1024__0___0,2,32,32,32,34,44
3120__1024__0___0,29,320,320,320,324,301
3121__1024__0___0,4,9,9,9,8,10
3122__1024__0___0,3,50,50,50,49,43
3125__1024__0___0,1,18,18,18,16,16
3129__1024__0___0,27,384,384,384,361,327
3132__1024__0___0,2,21,21,21,22,20
3136__1024__0___0,52,253,253,253,260,242
3137__1024__0___0,1,8,8,8,9,9
3141__1024__0___0,41,216,216,216,222,232
3147__1024__0___0,96,372,372,372,377,399
314__1024__0___0,5,90,90,90,110,98
314__1024__0___476,5,136,136,136,111,124
314__1024__476___0,6,130,130,130,129,131
314__1024__476___476,13,213,213,213,162,184
315__1024__0___0,1,43,43,43,27,29
315__1024__0___476,1,12,12,12,7,11
315__1024__476___0,0,MISSING,12,12,6,5
315__1024__476___476,0,MISSING,4,4,2,1
3163__1024__0___0,3,56,56,56,57,55
316__1024__0___0,5,72,72,72,73,61
316__1024__0___476,3,25,25,25,35,29
316__1024__476___0,7,90,90,90,111,103
316__1024__476___476,3,42,42,42,36,40
3174__1024__0___0,45,251,251,251,284,257
3175__1024__0___0,7,92,92,92,77,91
3176__1024__0___0,91,380,380,380,383,404
3177__1024__0___0,6,75,75,75,61,61
3178__1024__0___0,3,92,92,92,70,103
3179__1024__0___0,7,72,72,72,61,70
3190__1024__0___0,7,72,72,72,72,72
3192__1024__0___0,38,235,235,235,257,253
3194__1024__0___0,1,10,10,10,11,8
3196__1024__0___0,2,11,11,11,14,15
3198__1024__0___0,3,38,38,38,33,28
3200__1024__0___0,2,20,20,20,26,24
3202__1024__0___0,1,22,22,22,19,17
3206__1024__0___0,2,14,14,14,15,20
3207__1024__0___0,1,23,23,23,23,19
3210__1024__0___0,116,424,424,424,404,420
3211__1024__0___0,33,257,257,257,259,262
3214__1024__0___0,1,21,21,21,20,20
321__1024__0___0,0,MISSING,0,0,0,0
321__1024__0___476,3,11,11,11,12,11
321__1024__476___0,0,MISSING,0,0,0,0
321__1024__476___476,2,10,10,10,7,8
3221__1024__0___0,27,255,255,255,275,279
3224__1024__0___0,6,71,71,71,74,69
3229__1024__0___0,10,63,63,63,66,63
3231__1024__0___0,56,291,291,291,287,282
3232__1024__0___0,66,412,412,412,407,402
3235__1024__0___0,3,31,31,31,26,33
3240__1024__0___0,15,208,208,208,201,210
3246__1024__0___0,11,104,104,104,123,112
3248__1024__0___0,1,10,10,10,10,8
3250__1024__0___0,2,17,17,17,14,22
3251__1024__0___0,2,12,12,12,18,12
3253__1024__0___0,5,41,41,41,42,46
3257__1024__0___0,14,286,286,286,291,268
3266__1024__0___0,8,143,143,143,168,177
3270__1024__0___0,7,86,86,86,78,80
3279__1024__0___0,6,56,56,56,59,62
3281__1024__0___0,34,231,231,231,201,234
3296__1024__0___0,4,52,52,52,53,55
329__1024__0___0,192,611,611,611,596,598
32__1024__0___0,2,24,24,24,31,31
3308__1024__0___0,142,519,519,519,491,505
3312__1024__0___0,55,594,594,594,558,599
3318__1024__0___0,4,138,138,138,128,130
3321__1024__0___0,3,26,26,26,25,26
3324__1024__0___0,5,89,89,89,86,89
3326__1024__0___0,7,51,51,51,51,52
3331__1024__0___0,3,26,26,26,22,23
3335__1024__0___0,12,135,135,135,144,133
3337__1024__0___0,5,37,37,37,35,41
3347__1024__0___0,1,3,3,3,1,7
3349__1024__0___0,2,36,36,36,37,36
3352__1024__0___0,3,18,18,18,17,17
3356__1024__0___0,4,60,60,60,72,69
3361__1024__0___0,1,7,7,7,5,5
3377__1024__0___0,1,17,17,17,16,15
3379__1024__0___0,2,22,22,22,18,24
3380__1024__0___0,12,129,129,129,154,176
3386__1024__0___0,10,168,168,168,159,147
3389__1024__0___0,149,544,544,544,544,518
3393__1024__0___0,11,77,77,77,83,71
3394__1024__0___0,11,162,162,162,164,193
3395__1024__0___0,0,MISSING,0,0,0,0
3395__1024__0___824,1,10,10,10,8,9
3395__1024__0___976,1,9,9,9,7,9
3395__1024__824___0,0,MISSING,30,30,23,25
3395__1024__824___824,0,MISSING,0,0,0,0
3395__1024__824___976,0,MISSING,0,0,0,0
3395__1024__976___0,0,MISSING,30,30,21,22
3395__1024__976___824,0,MISSING,0,0,0,0
3395__1024__976___976,0,MISSING,0,0,0,0
3400__1024__0___0,6,80,80,80,72,97
3403__1024__0___0,2,12,12,12,15,23
3408__1024__0___0,6,173,173,173,146,154
3414__1024__0___0,4,79,79,79,88,75
3424__1024__0___0,57,310,310,310,296,308
3425__1024__0___0,41,253,253,253,245,244
3434__1024__0___0,2,32,32,32,41,32
3438__1024__0___0,3,45,45,45,46,42
3446__1024__0___0,15,112,112,112,105,113
3448__1024__0___0,28,254,254,254,225,250
3449__1024__0___0,2,25,25,25,33,26
344__1024__0___0,251,616,616,616,623,593
3467__1024__0___0,12,79,79,79,72,79
3468__1024__0___0,16,322,322,322,299,266
346__1024__0___0,145,361,361,361,371,370
3477__1024__0___0,2,37,37,37,36,34
3487__1024__0___0,134,507,507,507,502,512
3491__1024__0___0,2,35,35,35,38,36
3496__1024__0___0,3,34,34,34,33,43
3499__1024__0___0,8,139,139,139,131,123
3506__1024__0___0,56,274,274,274,292,287
3508__1024__0___0,11,48,48,48,57,61
3511__1024__0___0,2,7,7,7,20,14
3518__1024__0___0,2,29,29,29,28,21
3536__1024__0___0,38,245,245,245,219,234
3538__1024__0___0,16,120,120,120,129,128
353__1024__0___0,71,367,367,367,377,384
3540__1024__0___0,3,40,40,40,36,36
3543__1024__0___0,1,24,24,24,16,23
3548__1024__0___0,4,53,53,53,42,42
3557__1024__0___0,1,16,16,16,18,18
3560__1024__0___0,2,23,23,23,19,25
3562__1024__0___0,3,31,31,31,22,27
3576__1024__0___0,108,371,371,371,375,365
3577__1024__0___0,1,14,14,14,16,11
357__1024__0___0,2,32,32,32,25,27
3587__1024__0___0,21,315,315,315,292,268
3588__1024__0___0,17,278,278,278,282,288
3590__1024__0___0,5,52,52,52,53,50
3593__1024__0___0,52,362,362,362,362,368
3594__1024__0___0,90,396,396,396,390,393
3599__1024__0___0,1,35,35,35,33,36
3600__1024__0___0,5,71,71,71,79,83
3601__1024__0___0,1,9,9,9,14,10
3601__1024__0___824,0,MISSING,20,20,23,13
3601__1024__0___976,0,MISSING,16,16,32,11
3601__1024__824___0,5,42,42,42,39,44
3601__1024__824___824,0,MISSING,5,5,11,11
3601__1024__824___976,0,MISSING,13,13,15,11
3601__1024__976___0,6,49,49,49,48,52
3601__1024__976___824,0,MISSING,15,15,16,10
3601__1024__976___976,0,MISSING,17,17,15,16
